school_code,AgeID,school_name,street,town_suburb,postcode,student_number,indigenous_pct,lbote_pct,ICSEA_Value,level_of_schooling,selective_school,opportunity_class,school_specialty_type,school_subtype,support_classes,preschool_ind,distance_education,intensive_english_centre,school_gender,phone,school_email,fax,late_opening_school,date_1st_teacher,lga,electorate,fed_electorate,operational_directorate,principal_network,facs_district,local_health_district,aecg_region,ASGS_remoteness,latitude,longitude,date_extracted
2260,9658,Karangi Public School,Coffs Harbour-Coramba Rd,Karangi ,2450,130,10,4,1017,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6653 8284,karangi-p.school@det.nsw.edu.au,6653 8478,N,1892-04-01,Coffs Harbour (C),Coffs Harbour,Page,Tamworth & Coffs Harbour,Coffs Harbour,Mid North Coast & Northern NSW,Mid North Coast,Lower North Coast,Inner Regional Australia,-30.252411,153.047767,7/3/17
2263,9197,Karuah Public School,18 Bundabah St,Karuah ,2324,130,22,6,873,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4997 5341,karuah-p.school@det.nsw.edu.au,4997 5679,N,1884-05-01,Port Stephens (A),Port Stephens,Lyne,Tamworth & Coffs Harbour,Callaghan/Port Stephens,Hunter New England & Central Coast,Hunter New England,Hunter ,Inner Regional Australia,-32.654344,151.966595,7/3/17
2267,9287,Kearsley Public School,130 Caledonia Street,Kearsley,2325,145,22,np,888,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4990 1705,kearsley-p.school@det.nsw.edu.au,4991 1018,N,1/2/12,Cessnock (C),Cessnock,Hunter,Tamworth & Coffs Harbour,Hunter,Hunter New England & Central Coast,Hunter New England,Hunter,Inner Regional Australia,-32.857249,151.395921,7/3/17
2270,7585,Kegworth Public School,60 Tebbutt St,Leichhardt ,2040,318,4,28,1111,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Y,N,N,Coed,9569 7320,kegworth-p.school@det.nsw.edu.au,9560 6949,N,1887-09-01,Leichhardt (A),Balmain,Grayndler,Ultimo,Marrickville,"South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,-33.886514,151.14693,7/3/17
2271,9940,Keiraville Public School,Gipps Rd,Keiraville ,2500,340,2,36,1098,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4229 4117,keiraville-p.school@det.nsw.edu.au,4226 5084,N,1891-09-01,Wollongong (C),Keira,Cunningham,Dubbo & Wagga Wagga,Wollongong North,Illawarra Shoalhaven & Southern NSW,Illawarra Shoalhaven,Upper South Coast,Major Cities of Australia,-34.414114,150.873364,7/3/17
2273,9377,Kellys Plains Public School,45-47 Kelly's Plains School Rd,Armidale,2350,44,np,np,1078,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,026775 1253,kellysplan-p.school@det.nsw.edu.au,026775 1365,N,1863-12-01,Armidale Dumaresq (A),Northern Tablelands,New England,Tamworth & Coffs Harbour,Northern Tablelands,Hunter New England & Central Coast,Hunter New England,North Western 2,Outer Regional Australia,-30.571911,151.636504,7/3/17
2274,7858,Kellyville Public School,35A Windsor Road,Kellyville,2155,646,np,42,1071,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9629 1279,kellyville-p.school@det.nsw.edu.au,9629 3924,N,1873-11-01,The Hills Shire (A),Castle Hill,Mitchell,Macquarie Park,The Hills,Western Sydney & Nepean Blue Mountains,Western Sydney,Metropolitan West,Major Cities of Australia,-33.711052,150.957887,7/3/17
2275,10980,Kelso Public School,19 Gilmour Street,Kelso ,2795,257,34,4,818,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6331 1577,kelso-p.school@det.nsw.edu.au,6332 1983,N,1865-10-01,Bathurst Regional (A),Bathurst,Calare,Dubbo & Wagga Wagga,Bathurst,"Murrumbidgee, Far West & Western NSW",Western NSW,Western 1,Inner Regional Australia,-33.416969,149.605156,7/3/17
2278,9621,Kempsey East Public School,Innes St,Kempsey ,2440,221,22,4,900,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6562 4927,kempseyest-p.school@det.nsw.edu.au,6562 8979,N,1881-10-01,Kempsey (A),Oxley,Cowper,Tamworth & Coffs Harbour,Mid North Coast,Mid North Coast & Northern NSW,Mid North Coast,Lower North Coast,Inner Regional Australia,-31.083703,152.846861,7/3/17
2279,9623,Kempsey West Public School,Marsh St,West Kempsey,2440,376,48,np,780,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6562 7044,kempseywst-p.school@det.nsw.edu.au,6562 6538,N,1860-10-01,Kempsey (A),Oxley,Cowper,Tamworth & Coffs Harbour,Mid North Coast,Mid North Coast & Northern NSW,Mid North Coast,Lower North Coast,Inner Regional Australia,-31.078377,152.8301,7/3/17
2280,17869,Kendall Public School,Logans Crossing Rd,Kendall ,2439,189,6,np,968,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6559 0040,kendall-p.school@det.nsw.edu.au,6559 0071,N,1874-11-01,Port Macquarie-Hastings (A),Port Macquarie,Lyne,Tamworth & Coffs Harbour,Hastings,Mid North Coast & Northern NSW,Mid North Coast,Manning,Inner Regional Australia,-31.627392,152.702756,7/3/17
2283,5335,Kensington Public School,77-79 Doncaster Avenue,Kensington,2033,444,np,68,1135,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9663 3955,kensington-p.school@det.nsw.edu.au,9662 1382,N,1/1/00,Randwick (C),Heffron,Kingsford Smith,Ultimo,Botany Bay,"South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.909604,151.224965,7/3/17
2284,7868,Kenthurst Public School,111 Kenthurst Road,Kenthurst,2156,213,np,22,1067,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9654 1173,kenthurst-p.school@det.nsw.edu.au,9654 2586,N,1883-09-01,The Hills Shire (A),Castle Hill,Berowra,Macquarie Park,Dural,Western Sydney & Nepean Blue Mountains,Western Sydney,Metropolitan North,Major Cities of Australia,-33.665603,151.004575,7/3/17
2285,10207,Kentlyn Public School,Georges River Rd,Campbelltown ,2560,145,7,28,982,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4628 2455,kentlyn-p.school@det.nsw.edu.au,4628 4365,N,1/5/37,Campbelltown (C),Campbelltown,Macarthur,Ultimo,Campbelltown,South Western Sydney,South Western Sydney,Dharawal,Major Cities of Australia,-34.073132,150.858576,7/3/17
2286,9386,Kentucky Public School,Noalimba Ave,Kentucky ,2354,49,np,np,1048,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6778 7227,kentucky-p.school@det.nsw.edu.au,6778 7208,N,1868-07-01,Uralla (A),Northern Tablelands,New England,Tamworth & Coffs Harbour,Northern Tablelands,Hunter New England & Central Coast,Hunter New England,North Western 2,Outer Regional Australia,-30.759618,151.449162,7/3/17
2293,10048,Kiama Public School,67 Bong Bong Street,Kiama,2533,474,2,11,1066,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4232 1471,kiama-p.school@det.nsw.edu.au,4233 1438,N,1861-05-01,Kiama (A),Kiama,Gilmore,Dubbo & Wagga Wagga,South Coast,Illawarra Shoalhaven & Southern NSW,Illawarra Shoalhaven,Upper South Coast,Inner Regional Australia,-34.669659,150.850567,7/3/17
2303,9624,Kinchela Public School,5 Right Bank Rd,Kinchela ,2440,26,np,0,939,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6567 4828,kinchela-p.school@det.nsw.edu.au,6567 4689,N,1881-07-01,Kempsey (A),Oxley,Cowper,Tamworth & Coffs Harbour,Mid North Coast,Mid North Coast & Northern NSW,Mid North Coast,Lower North Coast,Outer Regional Australia,-30.991064,152.995063,7/3/17
2304,8681,Kincumber Public School,Avoca Drive,Kincumber ,2251,443,7,7,1014,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4369 1544,kincumber-p.school@det.nsw.edu.au,4369 2963,N,1870-04-01,Gosford (C),Terrigal,Robertson,Macquarie Park,Gosford,Hunter New England & Central Coast,Central Coast,Central Coast,Major Cities of Australia,-33.468184,151.394355,7/3/17
2307,8598,Kingsgrove Public School,Kingsgrove Rd,Kingsgrove ,2208,499,3,76,1001,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9150 9097,kingsgrove-p.school@det.nsw.edu.au,9554 3776,N,1/5/18,Hurstville (C),Kogarah,Barton,Ultimo,Canterbury,"South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.947822,151.10156,7/3/17
2308,8592,Bexley North Public School,116 Kingsland Rd,Bexley ,2207,529,np,70,1091,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9150 6171,bexleynth-p.school@det.nsw.edu.au,9554 3514,N,1/11/24,Rockdale (C),Rockdale,Barton,Ultimo,Canterbury,"South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.940838,151.120374,7/3/17
2310,9393,Kingstown Public School,Bundarra-Bendemeer Rd,Kingstown ,2358,30,np,np,934,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6778 9131,kingstown-p.school@det.nsw.edu.au,6778 9122,N,1896-08-01,Uralla (A),Northern Tablelands,New England,Tamworth & Coffs Harbour,Northern Tablelands,Hunter New England & Central Coast,Hunter New England,North Western 2,Outer Regional Australia,-30.506681,151.116405,7/3/17
2312,5849,Kingswood Public School,Second Ave,Kingswood ,2747,411,6,60,1036,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4736 4028,kingswood-p.school@det.nsw.edu.au,4736 6012,N,1892-09-01,Penrith (C),Penrith,Lindsay,Macquarie Park,Penrith,Western Sydney & Nepean Blue Mountains,Nepean Blue Mountains,Metropolitan West,Major Cities of Australia,-33.765884,150.726509,7/3/17
2314,9332,Kirkton Public School,797 Standen Drive,Belford,2335,41,0,np,1034,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6574 7152,kirkton-p.school@det.nsw.edu.au,6574 7227,N,1882-02-01,Singleton (A),Upper Hunter,Hunter,Tamworth & Coffs Harbour,Hunter,Hunter New England & Central Coast,Hunter New England,Hunter,Inner Regional Australia,-32.609773,151.290092,7/3/17
2315,9288,Kitchener Public School,38 Richmond Street,Kitchener,2325,78,12,0,942,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4990 2974,kitchener-p.school@det.nsw.edu.au,4991 1875,N,1/1/17,Cessnock (C),Cessnock,Hunter,Tamworth & Coffs Harbour,Hunter,Hunter New England & Central Coast,Hunter New England,Hunter,Inner Regional Australia,-32.87782,151.369977,7/3/17
2319,8625,Kogarah Public School,Gladstone St,Kogarah ,2217,379,np,91,1076,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9587 9472,kogarah-p.school@det.nsw.edu.au,9553 8306,N,1870-07-01,Kogarah (C),Kogarah,Barton,Ultimo,Georges River,"South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.962028,151.136618,7/3/17
2326,11022,Koorawatha Public School,Crowther Street,Koorawatha,2807,30,20,np,915,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6345 3414,koorawatha-p.school@det.nsw.edu.au,6345 3458,N,1884-03-01,Young (A),Cootamundra,Riverina,Dubbo & Wagga Wagga,Orange,"Murrumbidgee, Far West & Western NSW",Murrumbidgee,Western 1,Outer Regional Australia,-34.034936,148.559705,7/3/17
2327,9381,Kootingal Public School,Denman Avenue,Kootingal,2352,184,20,np,939,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6760 3332,kootingal-p.school@det.nsw.edu.au,6760 3064,N,1870-06-01,Tamworth Regional (A),Tamworth,New England,Tamworth & Coffs Harbour,Tamworth,Hunter New England & Central Coast,Hunter New England,North Western 2,Inner Regional Australia,-31.053487,151.053682,7/3/17
2330,9659,Kororo Public School,3 Korora School Road,Korora,2450,638,7,9,1012,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6653 6201,kororo-p.school@det.nsw.edu.au,6653 6776,N,1893-01-01,Coffs Harbour (C),Coffs Harbour,Cowper,Tamworth & Coffs Harbour,Coffs Harbour,Mid North Coast & Northern NSW,Mid North Coast,Lower North Coast,Inner Regional Australia,-30.254553,153.131921,7/3/17
2333,9542,Krambach Public School,3838 Bucketts Way,Krambach ,2429,42,0,np,933,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6559 1221,krambach-p.school@det.nsw.edu.au,6559 1206,N,1880-11-01,Greater Taree (C),Myall Lakes,Lyne,Tamworth & Coffs Harbour,Great Lakes,Hunter New England & Central Coast,Hunter New England,Manning,Inner Regional Australia,-32.046146,152.272293,7/3/17
2334,8692,Kulnura Public School,9 Williams Rd,Kulnura ,2250,58,np,17,978,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4376 1264,kulnura-p.school@det.nsw.edu.au,4376 1109,N,1/4/28,Gosford (C),Gosford,Robertson,Macquarie Park,Wyong,Hunter New England & Central Coast,Central Coast,Central Coast,Inner Regional Australia,-33.232582,151.216011,7/3/17
2340,10759,Kurmond Public School,494 Bells Line of Road,Kurmond ,2757,188,3,11,1020,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4573 1648,kurmond-p.school@det.nsw.edu.au,4573 2122,N,1/7/20,Hawkesbury (C),Hawkesbury,Macquarie,Macquarie Park,Hawkesbury,Western Sydney & Nepean Blue Mountains,Nepean Blue Mountains,Metropolitan West,Inner Regional Australia,-33.549715,150.692309,7/3/17
2341,8662,Kurnell Public School,Dampier & Torres Sts,Kurnell ,2231,207,3,13,1002,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9668 9864,kurnell-p.school@det.nsw.edu.au,9668 8131,N,1/6/21,Sutherland Shire (A),Cronulla,Cook,Ultimo,Port Hacking,"South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-34.010156,151.203773,7/3/17
2342,10768,Kurrajong Public School,1111 Grose Vale Rd,Kurrajong ,2758,229,np,8,1057,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4573 1647,kurrajong-p.school@det.nsw.edu.au,4573 2044,N,1/9/29,Hawkesbury (C),Hawkesbury,Macquarie,Macquarie Park,Hawkesbury,Western Sydney & Nepean Blue Mountains,Nepean Blue Mountains,Metropolitan West,Inner Regional Australia,-33.555196,150.662653,7/3/17
2343,10764,Kurrajong East Public School,891 East Kurrajong Road,East Kurrajong,2758,65,11,np,966,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4576 3321,kurrajonge-p.school@det.nsw.edu.au,4576 3579,N,1878-03-01,Hawkesbury (C),Hawkesbury,Macquarie,Macquarie Park,Hawkesbury,Western Sydney & Nepean Blue Mountains,Nepean Blue Mountains,Metropolitan West,Inner Regional Australia,-33.511172,150.77726,7/3/17
2344,10766,Kurrajong North Public School,Bells Line of Road,Kurrajong Hills ,2758,102,np,12,1053,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4567 7291,kurrajongn-p.school@det.nsw.edu.au,4567 7267,N,1878-10-01,Hawkesbury (C),Hawkesbury,Macquarie,Macquarie Park,Hawkesbury,Western Sydney & Nepean Blue Mountains,Nepean Blue Mountains,Metropolitan West,Inner Regional Australia,-33.541815,150.639446,7/3/17
2349,9755,Kyogle Public School,192 Summerland Way,Kyogle ,2474,315,12,3,929,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6632 1200,kyogle-p.school@det.nsw.edu.au,6632 2579,N,1895-04-01,Kyogle (A),Lismore,Page,Tamworth & Coffs Harbour,Richmond Valley,Mid North Coast & Northern NSW,Northern NSW,Upper North Coast,Inner Regional Australia,-28.625165,153.003916,7/3/17
2353,10499,Ladysmith Public School,Tywong St,Ladysmith ,2652,41,np,np,973,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6922 1524,ladysmith-p.school@det.nsw.edu.au,6922 1696,N,1881-09-01,Wagga Wagga (C),Wagga Wagga,Riverina,Dubbo & Wagga Wagga,Wagga Wagga,"Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1 ,Inner Regional Australia,-35.208549,147.510963,7/3/17
2354,10420,Laggan Public School,Laggan Rd,Laggan ,2583,17,0,0,987,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4837 3215,laggan-p.school@det.nsw.edu.au,4837 3227,N,1868-07-01,Upper Lachlan Shire (A),Goulburn,Hume,Dubbo & Wagga Wagga,Southern Tablelands,Illawarra Shoalhaven & Southern NSW,Southern NSW,Upper South Coast,Inner Regional Australia,-34.406246,149.527721,7/3/17
2356,9290,Laguna Public School,3738 The Great North Road,Laguna,2325,69,np,np,1041,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4998 8251,laguna-p.school@det.nsw.edu.au,4998 8106,N,1873-02-01,Cessnock (C),Cessnock,Hunter,Tamworth & Coffs Harbour,Hunter,Hunter New England & Central Coast,Hunter New England,Hunter,Inner Regional Australia,-32.992121,151.130526,7/3/17
2357,10484,Lake Albert Public School,Main St,Lake Albert ,2650,508,7,3,1005,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6922 6400,lakealbert-p.school@det.nsw.edu.au,6926 2065,N,1868-02-01,Wagga Wagga (C),Wagga Wagga,Riverina,Dubbo & Wagga Wagga,Wagga Wagga,"Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Inner Regional Australia,-35.173563,147.37924,7/3/17
2359,6483,Lake Cargelligo Central School,65 Canada Street,Lake Cargelligo,2672,260,40,3,848,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,N,N,N,Coed,6898 1008,lakecargel-c.school@det.nsw.edu.au,6898 1323,Y,1880-04-01,Lachlan (A),Barwon,Parkes,Dubbo & Wagga Wagga,Lachlan,"Murrumbidgee, Far West & Western NSW",Western NSW,Riverina 1,Remote Australia,-33.294836,146.373966,7/3/17
2360,8567,Lakemba Public School,Alice St,Lakemba ,2195,510,np,97,998,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9759 8079,lakemba-p.school@det.nsw.edu.au,9740 6794,N,1869-04-01,Canterbury (C),Lakemba,Watson,Ultimo,Canterbury,"South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan South West,Major Cities of Australia,-33.923615,151.070046,7/3/17
2362,8711,Lake Munmorah Public School,Carters Rd,Lake Munmorah,2259,470,10,4,962,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4358 1171,lakemunmor-p.school@det.nsw.edu.au,,N,1/1/23,Wyong (A),Swansea,Shortland,Macquarie Park,Wyong,Hunter New England & Central Coast,Central Coast,Central Coast,Major Cities of Australia,-33.1882,151.575559,7/3/17
2363,10545,Lake Wyangan Public School,Boorga Rd,Lake Wyangan ,2680,115,8,57,975,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6962 3217,lakewyanga-p.school@det.nsw.edu.au,6964 1462,N,1/4/07,Griffith (C),Murray,Farrer,Dubbo & Wagga Wagga,Griffith,"Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 2,Outer Regional Australia,-34.248183,146.034238,7/3/17
2366,9121,Lambton Public School,18-30 Croudace St,Lambton,2299,386,8,10,1024,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4957 1667,lambton-p.school@det.nsw.edu.au,4956 2430,N,1865-09-01,Newcastle (C),Wallsend,Newcastle,Tamworth & Coffs Harbour,Newcastle,Hunter New England & Central Coast,Hunter New England,Hunter,Major Cities of Australia,-32.911705,151.704134,7/3/17
2368,7616,Lane Cove Public School,Austin St & Longueville Rd,Lane Cove ,2066,840,np,37,1167,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9427 1024,lanecove-p.school@det.nsw.edu.au,9418 6277,N,1876-02-01,Lane Cove (A),Lane Cove,North Sydney,Macquarie Park,North Sydney,"South Eastern Sydney, Northern Sydney & Sydney",Northern Sydney,Metropolitan North,Major Cities of Australia,-33.816514,151.169134,7/3/17
2370,9549,Lansdowne Public School,Cundle Rd & Macquarie St,Lansdowne,2430,47,15,np,887,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6556 7147,lansdowne-p.school@det.nsw.edu.au,6556 7064,N,1869-10-01,Greater Taree (C),Port Macquarie,Lyne,Tamworth & Coffs Harbour,Hastings,Hunter New England & Central Coast,Hunter New England,Manning,Inner Regional Australia,-31.783944,152.532056,7/3/17
2372,9550,Upper Lansdowne Public School,1399 Upper Lansdowne Rd,Upper Lansdowne ,2430,26,np,0,944,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6556 9163,lansdowneu-p.school@det.nsw.edu.au,6556 9219,N,1895-08-01,Greater Taree (C),Port Macquarie,Lyne,Tamworth & Coffs Harbour,Hastings,Hunter New England & Central Coast,Hunter New England,Manning,Inner Regional Australia,-31.705206,152.467389,7/3/17
2373,7567,La Perouse Public School,Yarra Rd,La Perouse ,2036,30,70,np,780,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9311 2210,laperouse-p.school@det.nsw.edu.au,9311 3805,N,1868-08-01,Randwick (C),Maroubra,Kingsford Smith,Ultimo,Botany Bay,"South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.978352,151.235423,7/3/17
2374,9179,Largs Public School,1-5 Hunter St,Largs ,2320,139,8,5,974,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4930 1494,largs-p.school@det.nsw.edu.au,4930 1843,N,1849-01-01,Maitland (C),Maitland,Lyne,Tamworth & Coffs Harbour,Maitland,Hunter New England & Central Coast,Hunter New England,Hunter,Major Cities of Australia,-32.700491,151.60564,7/3/17
2375,9810,Larnook Public School,1282 Cawongla Road,Larnook,2480,30,np,np,916,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6688 0133,larnook-p.school@det.nsw.edu.au,6688 0189,N,1/5/22,Lismore (C),Lismore,Page,Tamworth & Coffs Harbour,Richmond Valley,Mid North Coast & Northern NSW,Northern NSW,Upper North Coast,Inner Regional Australia,-28.648612,153.114765,7/3/17
2377,9637,Laurieton Public School,Bold St,Laurieton ,2443,206,7,4,965,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6559 9084,laurieton-p.school@det.nsw.edu.au,6559 9572,N,1877-04-01,Port Macquarie-Hastings (A),Port Macquarie,Lyne,Tamworth & Coffs Harbour,Hastings,Mid North Coast & Northern NSW,Mid North Coast,Manning,Inner Regional Australia,-31.651768,152.797491,7/3/17
2378,10448,Lavington Public School,497 Hague St,Lavington ,2641,308,7,10,948,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6025 1864,lavington-p.school@det.nsw.edu.au,6040 2325,N,1865-09-01,Albury (C),Albury,Farrer,Dubbo & Wagga Wagga,Albury,"Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1 ,Inner Regional Australia,-36.037411,146.928265,7/3/17
2379,9714,Lawrence Public School,High St,Lawrence ,2460,62,11,np,945,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6647 7354,lawrence-p.school@det.nsw.edu.au,6647 7068,N,1868-01-01,Clarence Valley (A),Clarence,Page,Tamworth & Coffs Harbour,Clarence Valley,Mid North Coast & Northern NSW,Northern NSW,Upper North Coast,Outer Regional Australia,-29.491625,153.100368,7/3/17
2381,10871,Lawson Public School,Adelaide Street,Lawson,2783,251,6,9,1025,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4759 1196,lawson-p.school@det.nsw.edu.au,4759 2693,N,1888-11-01,Blue Mountains (C),Blue Mountains,Macquarie,Macquarie Park,Blue Mountains,Western Sydney & Nepean Blue Mountains,Nepean Blue Mountains,Metropolitan West,Major Cities of Australia,-33.721217,150.428243,7/3/17
2386,10558,Leeton Public School,Mallee St,Leeton,2705,382,7,16,980,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,6953 3488,leeton-p.school@det.nsw.edu.au,6953 3175,N,1/5/12,Leeton (A),Murray,Farrer,Dubbo & Wagga Wagga,Griffith,"Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Outer Regional Australia,-34.546126,146.407232,7/3/17
2391,10868,Leura Public School,Cnr Mount Hay Rd & Willow Park Ave,Leura,2780,262,np,12,1061,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,4784 1251,leura-p.school@det.nsw.edu.au,4784 3156,N,1/3/05,Blue Mountains (C),Blue Mountains,Macquarie,Macquarie Park,Blue Mountains,Western Sydney & Nepean Blue Mountains,Nepean Blue Mountains,Metropolitan West,Major Cities of Australia,-33.711151,150.336733,7/3/17
2394,7790,Lidcombe Public School,Mills Street,Lidcombe ,2141,675,np,92,1009,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9649 7576,lidcombe-p.school@det.nsw.edu.au,9749 1197,N,1879-02-01,Auburn (C),Auburn,Reid,Ultimo,Strathfield,Western Sydney & Nepean Blue Mountains,Western Sydney,Metropolitan South West,Major Cities of Australia,-33.861019,151.046926,7/3/17
2395,16309,Lightning Ridge Central School,Kaolin Street,Lightning Ridge,2834,369.4,45,11,829,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,N,N,N,Coed,6829 0511,lightningr-c.school@det.nsw.edu.au,6829 0137,Y,1/3/07,Walgett (A),Barwon,Parkes,Dubbo & Wagga Wagga,Western Plains,"Murrumbidgee, Far West & Western NSW",Western NSW,North Western 1,Remote Australia,-29.425211,147.978614,7/3/17
2403,7626,Lindfield Public School,Pacific Hwy,Lindfield ,2070,771,np,40,1184,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9416 1903,lindfield-p.school@det.nsw.edu.au,9416 2317,N,1/4/03,Ku-ring-gai (A),Davidson,Bradfield,Macquarie Park,Ku-Ring-Gai,"South Eastern Sydney, Northern Sydney & Sydney",Northern Sydney,Metropolitan North,Major Cities of Australia,-33.78075,151.168917,7/3/17
2404,7627,Lindfield East Public School,Tryon Rd,East Lindfield,2070,764,0,50,1192,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,9416 1955,lindfielde-p.school@det.nsw.edu.au,9416 2836,N,1/5/29,Ku-ring-gai (A),Davidson,Bradfield,Macquarie Park,Ku-Ring-Gai,"South Eastern Sydney, Northern Sydney & Sydney",Northern Sydney,Metropolitan North,Major Cities of Australia,-33.767479,151.18429,7/3/17
